Medal,Number_of_Medals,region,Year,Sport
Bronze,3,Indonesia,1996,Badminton
Silver,3,China,2008,Badminton
Silver,2,Denmark,2012,Badminton
Gold,2,Indonesia,1992,Badminton
Bronze,2,UK,2000,Badminton
Bronze,1,Denmark,2016,Badminton
Gold,8,China,2012,Badminton
Silver,1,South Korea,1992,Badminton
Gold,3,South Korea,1996,Badminton
Gold,2,Indonesia,2016,Badminton
Gold,3,China,2016,Badminton
Bronze,2,Denmark,2004,Badminton
Silver,2,Malaysia,1996,Badminton
Silver,2,UK,2004,Badminton
Bronze,2,UK,2016,Badminton
Bronze,5,China,2008,Badminton
Gold,4,China,2008,Badminton
Bronze,3,Indonesia,2004,Badminton
Silver,1,China,1996,Badminton
Bronze,1,China,2012,Badminton
Silver,2,Japan,2012,Badminton
Silver,5,Malaysia,2016,Badminton
Gold,2,China,1996,Badminton
Bronze,6,China,1992,Badminton
Bronze,2,South Korea,2008,Badminton
Gold,2,South Korea,2004,Badminton
Bronze,2,South Korea,2000,Badminton
Silver,2,China,2000,Badminton
Gold,2,Indonesia,2000,Badminton
Gold,1,Denmark,1996,Badminton
Silver,4,South Korea,1996,Badminton
Bronze,2,South Korea,2016,Badminton
Bronze,4,China,2000,Badminton
Gold,4,South Korea,1992,Badminton
Bronze,2,South Korea,1992,Badminton
Silver,2,China,2004,Badminton
Silver,3,Indonesia,2000,Badminton
Silver,2,Denmark,2016,Badminton
Silver,3,Indonesia,1992,Badminton
Silver,2,China,1992,Badminton
Gold,1,Indonesia,2004,Badminton
Bronze,2,South Korea,2012,Badminton
Gold,6,China,2000,Badminton
Gold,5,China,2004,Badminton
Gold,2,Indonesia,1996,Badminton
Silver,2,South Korea,2008,Badminton
Gold,2,South Korea,2008,Badminton
Silver,1,Malaysia,2012,Badminton
Silver,3,China,2012,Badminton
Gold,1,Spain,2016,Badminton
Bronze,4,China,1996,Badminton
Bronze,2,South Korea,2004,Badminton
Gold,2,Indonesia,2008,Badminton
Silver,3,South Korea,2004,Badminton
Silver,2,South Korea,2000,Badminton
Silver,1,Malaysia,2008,Badminton
Silver,1,Denmark,2000,Badminton
Bronze,2,Denmark,2012,Badminton
Bronze,1,India,2012,Badminton
Silver,1,Indonesia,1996,Badminton
Silver,2,Indonesia,2008,Badminton
Silver,1,Netherlands,2004,Badminton
Gold,2,Japan,2016,Badminton
Bronze,1,Japan,2016,Badminton
Bronze,2,Malaysia,1992,Badminton
Bronze,1,Malaysia,1996,Badminton
Silver,1,India,2016,Badminton
Bronze,1,Denmark,1992,Badminton
Bronze,1,Indonesia,1992,Badminton
Bronze,2,Russia,2012,Badminton
Bronze,2,China,2016,Badminton
Bronze,1,China,2004,Badminton
Bronze,1,Indonesia,2008,Badminton
